CityName,SiteCode,ZoneName,Year,Month,DeathRegMale,DeathRegFemale,DeathRegCount,CertiIssueCountMale,CertiIssueCountFeMale,CertiIssueCount,Gender_Ratio,Efficiency,Gap,Date
Surat,609,South Zone,1989,1,1,2,3,4.0,1.0,5.0,0.3333333333333333,1.25,-2.0,1989-01-01
Surat,716,South West Zone,1989,1,2,0,2,4.0,0.0,4.0,2.0,1.3333333333333333,-2.0,1989-01-01
Surat,207,West Zone,1989,1,1,0,1,2.0,0.0,2.0,1.0,1.0,-1.0,1989-01-01
Surat,508,East Zone,1989,1,3,2,5,3.0,0.0,3.0,1.0,0.5,2.0,1989-01-01
Surat,602,South Zone,1989,1,21,4,25,0.0,0.0,0.0,4.2,0.0,25.0,1989-01-01
Surat,708,South West Zone,1989,1,3,0,3,2.0,0.0,2.0,3.0,0.5,1.0,1989-01-01
Surat,709,South West Zone,1989,1,2,0,2,0.0,0.0,0.0,2.0,0.0,2.0,1989-01-01
Surat,713,South West Zone,1989,1,3,0,3,4.0,0.0,4.0,3.0,1.0,-1.0,1989-01-01
Surat,100,0,1989,1,2,0,2,10.0,0.0,10.0,2.0,3.3333333333333335,-8.0,1989-01-01
Surat,102,0,1989,1,159,129,288,85.0,22.0,107.0,1.2230769230769232,0.370242214532872,181.0,1989-01-01
Surat,400,North Zone,1989,1,29,15,44,7.0,0.0,7.0,1.8125,0.15555555555555556,37.0,1989-01-01
Surat,500,East Zone,1989,1,28,19,47,2.0,1.0,3.0,1.4,0.0625,44.0,1989-01-01
Surat,608,South Zone,1989,1,0,2,2,0.0,7.0,7.0,0.0,2.3333333333333335,-5.0,1989-01-01
Surat,408,North Zone,1989,1,4,2,6,4.0,0.0,4.0,1.3333333333333333,0.5714285714285714,2.0,1989-01-01
Surat,410,North Zone,1989,1,1,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1989-01-01
Surat,700,South West Zone,1989,1,17,6,23,15.0,0.0,15.0,2.4285714285714284,0.625,8.0,1989-01-01
Surat,300,Central Zone,1989,1,163,90,253,29.0,23.0,52.0,1.7912087912087913,0.2047244094488189,201.0,1989-01-01
Surat,718,South West Zone,1989,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1989-01-01
Surat,801,South East Zone,1989,1,1,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1989-01-01
Surat,208,West Zone,1989,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1989-01-01
Surat,505,East Zone,1989,1,2,1,3,0.0,0.0,0.0,1.0,0.0,3.0,1989-01-01
Surat,802,South East Zone,1989,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1989-01-01
Surat,709,South West Zone,1989,2,1,0,1,2.0,0.0,2.0,1.0,1.0,-1.0,1989-02-01
Surat,100,0,1989,2,2,0,2,3.0,0.0,3.0,2.0,1.0,-1.0,1989-02-01
Surat,207,West Zone,1989,2,1,1,2,2.0,4.0,6.0,0.5,2.0,-4.0,1989-02-01
Surat,300,Central Zone,1989,2,154,87,241,60.0,15.0,75.0,1.75,0.30991735537190085,166.0,1989-02-01
Surat,408,North Zone,1989,2,2,0,2,0.0,0.0,0.0,2.0,0.0,2.0,1989-02-01
Surat,410,North Zone,1989,2,1,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1989-02-01
Surat,802,South East Zone,1989,2,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1989-02-01
Surat,613,South Zone,1989,2,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1989-02-01
Surat,715,South West Zone,1989,2,1,2,3,6.0,1.0,7.0,0.3333333333333333,1.75,-4.0,1989-02-01
Surat,717,South West Zone,1989,2,1,1,2,1.0,0.0,1.0,0.5,0.3333333333333333,1.0,1989-02-01
Surat,102,0,1989,2,134,101,235,70.0,24.0,94.0,1.3137254901960784,0.3983050847457627,141.0,1989-02-01
Surat,400,North Zone,1989,2,23,16,39,18.0,9.0,27.0,1.3529411764705883,0.675,12.0,1989-02-01
Surat,505,East Zone,1989,2,1,1,2,0.0,0.0,0.0,0.5,0.0,2.0,1989-02-01
Surat,602,South Zone,1989,2,10,5,15,6.0,0.0,6.0,1.6666666666666667,0.375,9.0,1989-02-01
Surat,208,West Zone,1989,2,2,0,2,4.0,0.0,4.0,2.0,1.3333333333333333,-2.0,1989-02-01
Surat,700,South West Zone,1989,2,22,15,37,1.0,1.0,2.0,1.375,0.05263157894736842,35.0,1989-02-01
Surat,713,South West Zone,1989,2,1,6,7,0.0,13.0,13.0,0.14285714285714285,1.625,-6.0,1989-02-01
Surat,716,South West Zone,1989,2,1,1,2,0.0,0.0,0.0,0.5,0.0,2.0,1989-02-01
Surat,718,South West Zone,1989,2,1,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1989-02-01
Surat,500,East Zone,1989,2,25,15,40,15.0,0.0,15.0,1.5625,0.36585365853658536,25.0,1989-02-01
Surat,508,East Zone,1989,2,3,4,7,0.0,3.0,3.0,0.6,0.375,4.0,1989-02-01
Surat,615,South Zone,1989,4,1,0,1,0.0,0.0,0.0,1.0,0.0,1.0,1989-04-01
Surat,700,South West Zone,1989,4,16,13,29,20.0,9.0,29.0,1.1428571428571428,0.9666666666666667,0.0,1989-04-01
Surat,708,South West Zone,1989,4,1,1,2,0.0,3.0,3.0,0.5,1.0,-1.0,1989-04-01
Surat,602,South Zone,1989,4,5,6,11,0.0,0.0,0.0,0.7142857142857143,0.0,11.0,1989-04-01
