CityName,SiteCode,ZoneName,Year,Month,DeathRegMale,DeathRegFemale,DeathRegCount,CertiIssueCountMale,CertiIssueCountFeMale,CertiIssueCount
Surat,608,"South Zone",2001,7,0,1,1,0,NA,NA
Surat,608,"South Zone",2002,8,1,0,1,6,0,6
Surat,608,"South Zone",2003,1,1,1,2,0,6,6
Surat,608,"South Zone",2003,6,1,0,1,NA,0,NA
Surat,608,"South Zone",2004,4,1,1,2,0,0,NA
Surat,608,"South Zone",2004,6,3,0,3,NA,0,NA
Surat,608,"South Zone",2004,7,1,0,1,NA,0,NA
Surat,608,"South Zone",2004,8,5,0,5,NA,0,NA
Surat,608,"South Zone",2005,5,0,2,2,0,2,2
Surat,608,"South Zone",2005,8,0,1,1,0,NA,NA
Surat,608,"South Zone",2005,12,0,1,1,0,5,5
Surat,608,"South Zone",2006,1,0,1,1,0,NA,NA
Surat,609,"South Zone",1989,1,1,2,3,4,1,5
Surat,609,"South Zone",1989,7,0,1,1,0,NA,NA
Surat,609,"South Zone",1989,10,1,0,1,NA,0,NA
Surat,609,"South Zone",1991,1,1,0,1,NA,0,NA
Surat,609,"South Zone",1991,8,3,0,3,NA,0,NA
Surat,609,"South Zone",1992,2,2,1,3,0,0,NA
Surat,609,"South Zone",1992,5,0,1,1,0,NA,NA
Surat,609,"South Zone",1992,9,1,1,2,0,0,NA
Surat,609,"South Zone",1992,11,1,1,2,2,0,2
Surat,609,"South Zone",1993,10,1,0,1,NA,0,NA
Surat,609,"South Zone",1994,11,0,2,2,0,NA,NA
Surat,609,"South Zone",1995,10,2,1,3,9,0,9
Surat,609,"South Zone",1996,5,3,1,4,0,0,NA
Surat,609,"South Zone",1997,5,1,0,1,NA,0,NA
Surat,609,"South Zone",1997,7,0,1,1,0,NA,NA
Surat,609,"South Zone",1998,5,2,2,4,0,0,NA
Surat,609,"South Zone",1998,10,1,2,3,0,0,NA
Surat,609,"South Zone",1998,12,2,1,3,0,0,NA
Surat,609,"South Zone",2000,8,2,1,3,0,1,1
Surat,609,"South Zone",2001,6,1,0,1,NA,0,NA
Surat,609,"South Zone",2001,8,1,3,4,0,0,NA
Surat,609,"South Zone",2001,10,3,2,5,2,4,6
Surat,609,"South Zone",2001,12,1,1,2,0,0,NA
Surat,609,"South Zone",2002,2,2,0,2,NA,0,NA
Surat,609,"South Zone",2002,4,1,2,3,0,0,NA
Surat,609,"South Zone",2002,5,3,1,4,0,0,NA
Surat,609,"South Zone",2002,7,3,3,6,0,0,NA
